Exchange Symbol,Recipient,URL,Potential Reach,About,Value
PrivateCompany,Canada.com,https://o.canada.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Canoe.com,https://canoe.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Edmonton Journal,https://edmontonjournal.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Edmonton Sun,https://edmontonsun.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,London Free Press,https://lfpress.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Ottawa Sun,https://ottawasun.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Regina Leader Post,https://leaderpost.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Saskatoon Star Phoenix,https://thestarphoenix.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Windsor Star,https://windsorstar.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Winnipeg Sun,https://winnipegsun.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,The Province,https://theprovince.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Barchart.com,https://www.barchart.com/story/news/33859274/caseconvertertools-launches-free-online-tool-to-instantly-fix-text-case-and-formatting-errors,"1,000,000","Barchart is a leading provider of market data and services to the global financial, media, and commodity industries.","Barchart engages active traders, casual investors and professionals through its website where it recognizes 1 million visitors and 20 million page views each month. Additionally hosts a newsletter with 250,000 subscribers. The public company news Newsfile sends Barchart is available to its 1 million monthly visitors on its website, and may be used as the basis for editorial content included on its newsletter."
PrivateCompany,Benzinga,https://www.benzinga.com/pressreleases/25/08/46827705/caseconverter-tools-launches-free-online-tool-to-instantly-fix-text-case-and-formatting-errors,"1,540,000","Stock Market Quotes, Business News, Financial News, Trading Ideas, and Stock Research by Professionals.","News releases Newsfile sends Benzinga are made available to its 1.54 million montly website visitors. These visitors are potential investors, poised to make a purchase decision based on the news available."
PrivateCompany,Newsfile,https://www.newsfilecorp.com/release/261132,"150,000",Newsfile is an accredited newswire servicing thousands of public and private companies.,"Newsfile content is trusted by the financial community to make informed investment decisions. Stories displayed on the Newsfile website are available to 150,000 monthly visitors and email subscribers. Stories are also displayed on sites that redirect users to the Newsfile website; such as Kitco, Markets Insider and more."
PrivateCompany,FinanzNachrichten,https://www.finanznachrichten.de/nachrichten-2025-08/66080268-amrytt-media-caseconverter-tools-launches-free-online-tool-to-instantly-fix-text-case-and-formatting-errors-296.htm,"4,000,000","A German language financial website offering important equity, stock, and economy news.","The public company news releases Newsfile sends FinanzNachrichten are posted on its website and made available to its 4 million monthly visitors. These visitors are potential investors, poised to make a purchase decision based on the news available."
PrivateCompany,Central Charts,https://www.centralcharts.com/en/news/5216325-caseconverter-tools-launches-free-online-tool-to-instantly-fix-text-case-and-formatting-errors,"200,000","CentralCharts is a simple, free tool that allows individuals and professionals traders to share their technical/chart analyses on all financial markets (Stocks, Indexes, Forex, and Commodities).","The public company news releases Newsfile sends are made available to CentralCharts' 200,000 monthly website visitors."
PrivateCompany,X,https://x.com/newsfile_corp,"450,000,000","Owned by Elon Musk, X Corp. (formerly Twitter) is an American social media company based in San Francisco, California with 450 million active users.",Allows the indexing of public company news using "cashtags" - ticker symbols preceded by the dollar "$" sign. Releases posted and cashtagged on X are made available to its 450 million active users. View counts are associated with clicks from an X post resulting in the opening of this story on the Newsfile web site.
PrivateCompany,accern,https://www.accern.com/,N/A,Accern offers solutions that automate financial research and enhancing quantitate trading strategies performance with the integration of alternative news and social analytics datasets.,"As Artificial Intelligence becomes more commonplace in financial applications, Accern uses Newsfile's highly categorized content to populate its products and solutions for its customers."
PrivateCompany,Comtex,http://www.comtex.com/,"100,000,000","Comtex News Network, Inc. is a leading news aggregation service that has successfully provided satisfied customers with customized news and content for more than two decades.","Comtex is a leading financial news aggregator. Aggregators collect financial news from many trusted sources, make them available in one location, enhance the presentation by adding logic to better classify/catagorize content and then deliver that content to their distrubution and API clients. Most web portals and apps that display news content are powered by an aggregator such as Comtex."
PrivateCompany,Newsbank,http://www.newsbank.com/,"233,150",NewsBank is a news database resource that provides archives of media publications as reference materials to libraries.,"Consolidates current and archived information from thousands of newspaper titles, as well as newswires, web editions, blogs, videos, broadcast transcripts, business journals, periodicals, government documents and other publications. Using these online resources, researchers in libraries around the world can easily explore tens of millions of current and archived news articles."
PrivateCompany,Postmedia,http://www.postmedia.com/,"2,000","Postmedia Network Canada Corporation is a Canadian media conglomerate consisting of the publishing properties of the former Canwest, with primary operations in newspaper publishing, news gathering and Internet operations.","Content Newsfile submits to Postmedia is made available to its 2,000 employees, reporters, and journalists across the country."
PrivateCompany,Dow Jones Newswires,https://www.dowjones.com/products/newswires/,"600,000",Dow Jones Newswires is a real-time financial news organization founded in 1882. It aggregates public company news and makes this information available to its subscribers. DowJones news content is available on the Bloomberg Terminal.,"Delivers news and public company information to 600,000 brokers, traders, and analysts, and as of June, 2019, to Bloomberg Terminal users as well. The press releases Newsfile sends DowJonesWire are made available to its subscribers."
PrivateCompany,Newsware,http://www.newsware.com/,N/A,Newsware consolidates and redistributes financial news for professional and retail traders.,Delivers the public company news releases Newsfile sends to subscribing traders and financial professionals based on their filtering preferences.
PrivateCompany,Digital Journal,https://www.digitaljournal.com/pr/news/newsfile/index.html,"410,000","Breaking news coverage of politics, business, world news, tech, entertainment and more from reporters around the world.","Digital Journal is a global digital media network with contributors from around the world. Reaching an audience of millions of monthly visitors, Digital Journal blends a new media approach with proprietary technology, data and social tool sets to deliver a unique and engaging experience. Digital Journal publishes to multiple platforms, from Web to Facebook, Twitter and more."
PrivateCompany,INK Research,https://www.insidertracking.com/node/5022,"80,000","An independent Canadian-based financial information firm, INK Research Corp. (INK) provides insider news and knowledge to investors. INK powers the websites CanadianInsider and InsiderTracking.","Hosts a subscription service, CIA Interactive, that allows subscribers to evaluate companies based on insider buying and selling. The corporate news releases Newsfile sends INK are made available to CIA Interactive subscribers, and to approximately 80,000 monthly visitors of CanadianInsider and InsiderTracking."
PrivateCompany,InfoDesk,http://www.infodesk.com/,"52,210","InfoDesk provides targeted intelligence and federated information integrated, enriched and distributed to millions of users around the world.",InfoDesk's powerful technology enables organizations to consolidate huge volumes of both internal and external information and transform it into actionable insights. The news releases Newsfile sends to InfoDesk become part of the data served to its millions of customers.
PrivateCompany,Marketwatch,https://www.marketwatch.com/search?q=newsfile&ts=0&ns=3&sm=4&tab=All%20News,"10,000,000","MarketWatch is an American financial information website that provides business news, analysis, and stock market data. It is a subsidiary of Dow Jones & Company, a property of News Corp, which also owns The Wall Street Journal and Barron's.","MarketWatch lists public company profiles and news releases which are available to its 10 million monthly visitors. It boasts 94 million pageviews each month. The public company news releases Newsfile sends MarketWatch are available through its website to its 10 million monthly visitors. These visitors are potential investors, poised to make a purchase decision based on the news available."
PrivateCompany,Moody's Analytics NewsEdge,https://newsedge.com/,"100,000,000","Moody's NewsEdge (formerly Acquire Media) brings together real-time news sources, and the best of the business web and social media to empower decision makers.","Moody's NewsEdge is a leading financial news aggregator. Aggregators collect financial news from many trusted sources, make them available in one location, enhance the presentation by adding logic to better classify/catagorize content and then deliver that content to their distrubution and API clients. Most web portals and apps that display news content are powered by an aggregator such as Moody's NewsEdge."
PrivateCompany,StreetInsider.com,https://www.streetinsider.com/Newsfile,"345,000","StreetInsider.com is a next-generation stock market news and analysis service, separating itself from other news services in its commitment to focus only on market moving events and analyze news in real-time.","News releases Newsfile sends StreetInsider.com are made available to its subscribers. The content of the releases may be used for editiorial content made available to its 345,000 monthly website visitors and alert subscribers. These viewers are potential investors, poised to make a purchase decision based on the news available."
PrivateCompany,Dow Jones Factiva,https://www.dowjones.com/products/factiva/,"1,100,000","Factiva is a business information and research tool owned by Dow Jones & Company. Factiva aggregates content from both licensed and free sources, and provides organizations information management capabilities.","News releases are indexed within Factiva and made available to its 1,100,000 users around the world. Stories Newsfile sends may be used by downstream journalists as the basis for editorial content."
PrivateCompany,Associated Press,https://apnews.com/hub/press-releases/newsfile,"66,000,000","The Associated Press is an American non-profit news agency headquartered in New York City. Stay informed and read the latest news today from The Associated Press, the definitive source for independent journalism from every corner of the globe.","News releases posted to apnews.com are available to 66 million plus monthly visitors and are highly ranked in search engines, improving your online visibility."
PrivateCompany,CRWE World,http://crweworld.com/category/18/PressReleases,"50,430",CRWE WORLD is a network of community targeted sites. Its goal is to be a one-stop shop for the various needs of online consumers.,"Public company news releases are forwarded to CRWEWorld's subscribers, who then make the stories available on their websites or apps."
PrivateCompany,Quotemedia ,http://www.quotemedia.com/,"261,910","Stock market data and financial research solutions. Financial widgets, market data feeds, and stock market applications.",QuoteMedia aggregates the news releases it receives from Newsfile with similar content and then makes this material available to hundreds of downstream partners and websites.
PrivateCompany,Gale Cengage Learning,https://www.gale.com/,"22,580,000","For more than 60 years, Gale has provided libraries with original and curated content, as well as the modern research tools that are crucial in connecting libraries to learning, and learners to libraries.","Reach Business Insights: Essentials, a Gale-Cengage product available to subscribing public libraries across the globe. Business Insights: Essentials is a user-friendly business tool that delivers authoritative company and industry information, articles, and statistical data to business owners, entrepreneurs, marketing professionals, investors, students, and general researchers. The product features 500,000 detailed company profiles and investment and brokerage reports."
PrivateCompany,Newstex,https://www.newstex.com/why-newstex,"100,000,000",Newstex is a free service that enables a powerful distribution channel for your website: content syndication.,"Syndicating your content with Newstex means making your full-text articles available via professional channels to audiences that find your high-quality content uniquely valuable. These channels include academic libraries, specialized information databases dedicated to specific professional fields, media monitoring platforms, and content marketplaces that serve professional analysts, researchers, and marketing experts."
PrivateCompany,Teletrader,https://www.teletrader.com/,"361,460","Since its establishment in 1995, TeleTrader Software AG  has been offering a broad range of software solutions that gather information, analyze financial data, and visualize and analyze stock-exchange and other financial data.","TeleTrader offers companies listed on North American exchanges the opportunity to reach a European audience. The TeleTrader service not only provides a platform for monitoring companies and their news, but also feeds 100+ web portals, apps, trading applications and backend systems. All together, the TeleTrader serves 5+ billion quotes per month and 25+ million charts per month."
PrivateCompany,Wall Street Journal,https://www.wsj.com/search?query=newsfile&isToggleOn=true&operator=OR&sort=relevance&duration=1y&source=wsjie%2Cblog%2Cwsjvideo%2Cinteractivemedia%2Cwsjsitesrch%2Cwsjpro%2Cwsjaudio%2Clivecoverage%2Capfeed%2Cautowire,"42,000,000",WSJ.com reaches an audience of 42 million digital readers per month who seek the news and information critical to their business and personal lives.  Edited locally in three languages and available across digital platforms.,The Wall Street Journal website attracts 42.4 million unique visitors each month and 169 million pageviews. Headlines of the public company news releases Newsfile sends WSJ are posted on its website and full text stories made available to subscribers.
PrivateCompany,Thomson Reuters Newsroom and Terminals,https://www.thomsonreuters.com/en/products-services/news-media.html,N/A,"Thomson Reuters Corporation is a Canadian multinational media conglomerate. It provides a number of financial platforms to the investment community, including Thomson EIKON and Thomson ONE.","The corporate news releases Newsfile sends are made available to 360,000 subscribers using Thomson EIKON and ONE terminals. Thomson Reuters also feeds various other databases and research platforms providing market intelligence for investors and financial analysts. Stories Newsfile sends may be used by downstream journalists as the basis for editorial content."
PrivateCompany,YahooFinance Canada,https://ca.finance.yahoo.com/,"70,000,000","Yahoo! Finance rolled out shortly after Yahoo!'s debut in 1994. Yahoo! bills its Finance portal as its industry-leading business and financial news product, and the service has evolved from its desktop origins to utilize mobile and tablet apps.","The most popular personal finance website in the United States, Yahoo! Finance boasts 70 million unique visits each month. Yahoo! Finance feeds a number of other significant platforms as well, including YCharts. Together, Yahoo! Finance and its recipient locations make up one of the largest investment audiences. Newsfile's press releases sent to Yahoo! are made available on its website and its downstream recipients."
PrivateCompany,YahooFinance,https://finance.yahoo.com/news/provider-newsfile,"70,000,000","Yahoo! Finance rolled out shortly after Yahoo!'s debut in 1994. Yahoo! bills its Finance portal as its industry-leading business and financial news product, and the service has evolved from its desktop origins to utilize mobile and tablet apps.","The most popular personal finance website in the United States, Yahoo! Finance boasts 70 million unique visits each month. Yahoo! Finance feeds a number of other significant platforms as well, including YCharts. Together, Yahoo! Finance and its recipient locations make up one of the largest investment audiences. Newsfile's press releases sent to Yahoo! are made available on its website and its downstream recipients."
PrivateCompany,Lexis Nexis,https://www.lexisnexis.com/en-us/products/lexisnexis-academic.page,N/A,"LexisNexis is a corporation providing computer-assisted legal research as well as business research and risk management services. During the 1970s, LexisNexis pioneered the electronic accessibility of legal and journalistic documents.",The news releases we send LexisNexis are included in its database offerings to its customers.
PrivateCompany,CEO.CA,https://ceo.ca/@newsfile,"900,000","CEO.CA is a Canadian stock market dashboard made in Vancouver, BC. Members include CEOs and portfolio managers as well as regular investors from over 50 countries.","The public company news releases Newsfile sends are made available to CEO.CA's 900,000 monthly website visitors. These visitors are potential investors, poised to make a purchase decision based on the news available."
PrivateCompany,Bloomberg Website,http://www.bloomberg.com/,"28,000,000","Bloomberg delivers business and market news, data, analysis, and video to the world, featuring stories from Businessweek and Bloomberg News.",The public company news releases Newsfile sends to Bloomberg are made available on its website to its 28 million monthly visitors. News releases may also be used by the Bloomberg news team - or downstream journalists - as the basis for editorial content.
PrivateCompany,The Prospector Resource Investment News,https://www.theprospectornews.com,N/A,"Founded in 1980, TheProspectorNews is a multimedia company designed to assist resource companies in telling their stories to investors and prospectors.","TheProspectorNews receives all mining news releases distributed by Newsfile. TheProspectorNews produces a resource investment publication every 2 months and a weekly ""Prospector Picks"" newsletter featuring private placements and a roundup of commentary highlights by experts. The team at TheProspectorNews may create editorial content based on your press release and make it available to its subscribers through it's printed publication, web site, or email lists."
PrivateCompany,Stockhouse,http://www.stockhouse.com/,"1,000,000",Stockhouse is one of Canada's largest financial portals and one of North America's largest small cap investor communities.,Up to 1 million affluent and highly engaged investors visit the Stockhouse web site each month where public company news is made available. According to Stockhouse 25% of visitors are Accredited Investors. The public company news releases Newsfile sends are made available to Stockhouse's 1 million monthly visitors.
PrivateCompany,Sentieo,https://sentieo.com/,700,Sentieo is a research platform built by former hedge fund analysts to supercharge research workflow.,"Using the Stream feature, Sentieo's 700+ subscribers can extract key information from social media, news and company documents. Newsfile releases are forwarded to Sentieo and made available to its subscribers."
PrivateCompany,Apple News,https://www.apple.com/ca/apple-news/,"100,000,000","Apple News is a mobile app and news aggregator developed by Apple Inc., for its iOS, iPadOS, watchOS, and macOS operating systems.","With 1.4 billion active devices, Apple currently has the largest audience of all news apps in the US at 100 million. Make your story available to this large user base."
PrivateCompany,Ontario Farmer,https://ontariofarmer.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Prince George Post,https://princegeorgepost.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Airdrie Echo,http://airdrieecho.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Belleville Intelligencer,http://intelligencer.ca/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Bow Valley Crag & Canyon,http://thecragandcanyon.ca/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Brantford Expositor,http://brantfordexpositor.ca/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Brockville Recorder & Times,http://recorder.ca/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Chatham Daily News,http://chathamdailynews.ca/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Chatham This Week,http://chathamthisweek.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Clinton News Record,http://clintonnewsrecord.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Cochrane Times-Post,http://cochranetimespost.ca/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Cochrane Times,http://cochranetimes.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Cold Lake Sun,http://coldlakesun.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Cornwall Standard-Freeholder,http://standard-freeholder.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,County Market,http://countymarket.ca/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Devon Dispatch,http://devondispatch.ca/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Drayton Valley Western Review,http://draytonvalleywesternreview.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Edmonton Examiner,http://edmontonexaminer.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Elliot Lake Standard,http://elliotlakestandard.ca/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Exeter Lakeshore Times Advance,http://lakeshoreadvance.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Fairview Post,http://fairviewpost.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Fort Mcmurray Today,http://fortmcmurraytoday.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Fort Saskatchewan Record,http://fortsaskatchewanrecord.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Gananoque Reporter,http://gananoquereporter.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Goderich Signal Star,http://goderichsignalstar.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Grande Prairie Daily Herald Tribune,http://dailyheraldtribune.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Grey Bruce This Week,http://greybrucethisweek.ca/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Hanna Herald,http://hannaherald.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Hanover Post,http://thepost.on.ca/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,High River Times,http://highrivertimes.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Kenora Miner,http://kenoraminerandnews.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Kincardine News,http://kincardinenews.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Kingston/Frontenac This Week,http://kingstonthisweek.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,La Nouvelle Beaumont News,http://thebeaumontnews.ca/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Leduc Representative,http://leducrep.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Lucknow Sentinel,http://lucknowsentinel.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Mayerthorpe Freelancer,http://mayerthorpefreelancer.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Melfort Journal,http://melfortjournal.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Mid-North Monitor,http://midnorthmonitor.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Mitchell Advocate,http://mitchelladvocate.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Nanton News,http://nantonnews.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Nipawin Journal,http://nipawinjournal.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,North Bay Nugget,http://nugget.ca/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Northern News,http://northernnews.ca/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Owen Sound Sun Times,http://owensoundsuntimes.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Peace River Record Gazette,http://prrecordgazette.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Pembroke Observer,http://pembrokeobserver.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Pincher Creek Echo,http://pinchercreekecho.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Sarnia & Lambton County This Week,http://sarniathisweek.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Sault Star,http://saultstar.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Sault This Week,http://saultthisweek.com/newsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
